generation,average,best
0,9.74075806055221E8,6.92540238604612E8
1,9.740191965368143E8,4.106230253841337E8
2,9.739628508696338E8,4.106230253841337E8
3,9.855955651403116E8,4.099321402237214E8
4,1.2292799686660209E9,4.096644451091649E8
5,3.70457005521819E9,1.9213779369166338E8
6,2.7003381600764595E10,9.29632128011991E7
7,1.3202581543112144E11,7.433939071669261E7
8,8.910097487765423E13,2.943810361974906E7
9,8.584497925240042E13,2.943810361974906E7
10,6.332842932223883E15,1.0210735534071608E7
11,1.820480202289576E16,4355190.16697556
12,8.47599037201927E15,4218266.243583649
13,1.2888882753024045E14,1762805.4255180086
14,3.162349243182731E13,1762805.4255180086
15,3.6232103760234116E12,1762805.4255180086
16,2.939364240943515E15,1761439.5510352342
17,3.294443369479862E14,1761439.5510352342
18,1.6688212451390722E14,1365027.1793349185
19,1.6677355018143385E13,949315.5863703866
